LECROYHDO6104A,50476,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,23-Jun-2025 11:38:38,0                 
Time,Ampl
2.7612861e-06,5.625e-05
2.7613861e-06,6.25e-06
2.7614861e-06,-0.0001
2.7615861e-06,-0.0002
2.7616861e-06,-0.00023125
2.7617861e-06,-0.0001875
2.7618861e-06,-8.75e-05
2.7619861e-06,0
2.7620861e-06,1.875e-05
2.7621861e-06,-4.375e-05
2.7622861e-06,-0.000175
2.7623861e-06,-0.0003
2.7624861e-06,-0.00035
2.7625861e-06,-0.0002875
2.7626861e-06,-0.00011875
2.7627861e-06,0.0001
2.7628861e-06,0.00028125
2.7629861e-06,0.00035
2.7630861e-06,0.00028125
2.7631861e-06,0.0001
2.7632861e-06,-0.000125
2.7633861e-06,-0.0003125
2.7634861e-06,-0.00040625
2.7635861e-06,-0.0004
2.7636861e-06,-0.00031875
2.7637861e-06,-0.00023125
2.7638861e-06,-0.00018125
2.7639861e-06,-0.0002
2.7640861e-06,-0.0002625
2.7641861e-06,-0.00033125
2.7642861e-06,-0.00035625
2.7643861e-06,-0.0003
2.7644861e-06,-0.000175
2.7645861e-06,-1.875e-05
2.7646861e-06,0.000125
2.7647861e-06,0.0002
2.7648861e-06,0.0002
2.7649861e-06,0.00014375
2.7650861e-06,6.25e-05
2.7651861e-06,0
2.7652861e-06,-1.25e-05
2.7653861e-06,2.5e-05
2.7654861e-06,0.00010625
2.7655861e-06,0.0002
2.7656861e-06,0.00028125
2.7657861e-06,0.00034375
2.7658861e-06,0.00038125
2.7659861e-06,0.0004
2.7660861e-06,0.00040625
2.7661861e-06,0.0004
2.7662861e-06,0.0004
2.7663861e-06,0.0004
2.7664861e-06,0.00041875
2.7665861e-06,0.0004625
2.7666861e-06,0.000525
2.7667861e-06,0.0006
2.7668861e-06,0.00065
2.7669861e-06,0.00064375
2.7670861e-06,0.00055625
2.7671861e-06,0.0004
2.7672861e-06,0.00019375
2.7673861e-06,0
2.7674861e-06,-0.00014375
2.7675861e-06,-0.0002
2.7676861e-06,-0.000175
2.7677861e-06,-0.00010625
2.7678861e-06,-3.125e-05
2.7679861e-06,0
2.7680861e-06,-1.25e-05
2.7681861e-06,-4.375e-05
2.7682861e-06,-5e-05
2.7683861e-06,0
2.7684861e-06,0.00011875
2.7685861e-06,0.00028125
2.7686861e-06,0.000425
2.7687861e-06,0.0005
2.7688861e-06,0.000475
2.7689861e-06,0.0003625
2.7690861e-06,0.0002125
2.7691861e-06,0.0001
2.7692861e-06,6.875e-05
2.7693861e-06,0.0001375
2.7694861e-06,0.00026875
2.7695861e-06,0.0004
2.7696861e-06,0.00046875
2.7697861e-06,0.00045
2.7698861e-06,0.0003375
2.7699861e-06,0.0002
2.7700861e-06,9.375e-05
2.7701861e-06,6.875e-05
2.7702861e-06,0.00015
2.7703861e-06,0.0003
2.7704861e-06,0.0004625
2.7705861e-06,0.000575
2.7706861e-06,0.0005875
2.7707861e-06,0.0005
2.7708861e-06,0.00034375
2.7709861e-06,0.000175
2.7710861e-06,5e-05
2.7711861e-06,0
2.7712861e-06,3.125e-05
2.7713861e-06,0.0001125
2.7714861e-06,0.00021875
2.7715861e-06,0.0003
2.7716861e-06,0.0003375
2.7717861e-06,0.000325
2.7718861e-06,0.00026875
2.7719861e-06,0.0002
2.7720861e-06,0.0001375
2.7721861e-06,0.0001125
2.7722861e-06,0.00013125
2.7723861e-06,0.0002
2.7724861e-06,0.00030625
2.7725861e-06,0.000425
2.7726861e-06,0.0005375
2.7727861e-06,0.0006
2.7728861e-06,0.00059375
2.7729861e-06,0.00051875
2.7730861e-06,0.000375
2.7731861e-06,0.0002
2.7732861e-06,3.125e-05
2.7733861e-06,-0.0001
2.7734861e-06,-0.000175
2.7735861e-06,-0.0002
2.7736861e-06,-0.00019375
2.7737861e-06,-0.0001875
2.7738861e-06,-0.0001875
2.7739861e-06,-0.0002
2.7740861e-06,-0.00020625
2.7741861e-06,-0.00018125
2.7742861e-06,-0.00010625
2.7743861e-06,0
2.7744861e-06,0.000125
2.7745861e-06,0.000225
2.7746861e-06,0.0002875
2.7747861e-06,0.0003
2.7748861e-06,0.00029375
2.7749861e-06,0.00029375
2.7750861e-06,0.00033125
2.7751861e-06,0.0004
2.7752861e-06,0.000475
2.7753861e-06,0.0005
2.7754861e-06,0.00045
2.7755861e-06,0.0003
2.7756861e-06,9.375e-05
2.7757861e-06,-0.00011875
2.7758861e-06,-0.0002625
2.7759861e-06,-0.0003
2.7760861e-06,-0.00024375
2.7761861e-06,-0.00013125
2.7762861e-06,-3.75e-05
2.7763861e-06,0
2.7764861e-06,-3.125e-05
2.7765861e-06,-9.375e-05
2.7766861e-06,-0.00013125
2.7767861e-06,-0.0001
